,Time,Source,Destination,Protocol,Length,Info
2642,159.711.636,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
2704,162.770.093,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
2706,162.878.746,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
2751,165.883.491,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
2753,165.972.885,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
2795,169.039.851,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
2797,169.129.358,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
2851,172.184.529,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
2853,172.274.228,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
2889,175.329.636,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
2891,175.422.670,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
2939,178.424.137,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
2941,178.513.411,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
2989,181.563.430,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
2991,181.657.862,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
3028,184.680.665,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
3030,184.770.295,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
3078,187.820.790,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
3081,187.909.862,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
3126,190.971.773,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
3128,191.065.412,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
3173,194.109.355,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
3176,194.198.354,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
3212,197.238.383,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
3214,197.329.510,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
3275,200.383.196,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
3277,200.471.677,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
3334,203.502.623,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
3336,203.594.161,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
3376,206.651.485,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
3379,206.740.122,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
3428,209.754.591,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
3430,209.845.689,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
3470,212.909.044,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
3472,213.003.335,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
3518,216.047.907,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
3520,216.503.037,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
3556,219.568.721,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
3557,219.660.719,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
3603,987.648.047,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
3605,987.738.093,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
3645,225.778.770,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
3647,225.869.031,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
3696,228.889.062,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
3699,228.978.053,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
3876,231.988.050,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
3887,232.078.053,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
4011,235.118.298,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
4013,235.209.706,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
4055,238.224.291,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
4057,238.313.987,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
4123,987.282.192,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
4127,987.371.824,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
4173,244.414.067,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
4175,244.502.918,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
4217,247.561.695,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
4219,247.654.202,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
4258,250.665.475,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
4260,250.755.683,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
4303,253.797.462,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
4305,253.887.696,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
